#algo	query_id	nb_reads	query_length	accession	description	organism	percentIdentity	nb_hsps	queryOverlap	hitOverlap	evalue	score	tax_id	taxonomy	sequence
"BLASTX"	"SRR10518885_369"	"1027"	"2276"	"XP_010657683"	"PREDICTED: UDP-glucose:glycoprotein glucosyltransferase isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"98.4"	"1"	"100"	"46"	"0"	"1545.02"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_520"	"283"	"2098"	"XP_002276249"	"PREDICTED: cation/H(+) antiporter 18 [Vitis vinifera]"	"Vitis vinifera"	"99.0"	"1"	"82"	"73"	"0"	"1065.45"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3317"	"138"	"1133"	"XP_002266358"	"PREDICTED: S-adenosylmethionine synthase 2 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"75"	"73"	"0"	"557.755"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3379"	"267"	"1121"	"XP_002272066"	"PREDICTED: plant UBX domain-containing protein 4 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"80"	"100"	"0"	"545.814"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3044"	"824"	"1174"	"XP_002266761"	"PREDICTED: 11-beta-hydroxysteroid dehydrogenase 1B isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"79"	"95"	"0"	"593.193"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_818"	"2284"	"1850"	"RVW15769"	"DNA polymerase eta [Vitis vinifera]"	"Vitis vinifera"	"99.1"	"3"	"100"	"85"	"4.69731e-10"	"1249.164"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3200"	"337"	"1152"	"XP_002269277"	"PREDICTED: probable metal-nicotianamine transporter YSL7 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.1"	"1"	"88"	"48"	"0"	"541.191"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1985"	"277"	"1389"	"XP_010653120"	"PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g06840 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.8"	"1"	"95"	"46"	"0"	"787.719"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_861"	"416"	"1825"	"XP_002265101"	"PREDICTED: protein transport protein SEC23 [Vitis vinifera]"	"Vitis vinifera"	"99.8"	"1"	"100"	"80"	"0"	"1211.82"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3747"	"185"	"1067"	"CAN72996"	"hypothetical protein VITISV_003925 [Vitis vinifera]"	"Vitis vinifera"	"99.4"	"1"	"48"	"73"	"2.1974e-94"	"290.812"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3851"	"765"	"1053"	"XP_002266534"	"PREDICTED: ATPase family AAA domain-containing protein 3 [Vitis vinifera]"	"Vitis vinifera"	"98.5"	"1"	"93"	"52"	"0"	"552.747"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1854"	"21276"	"1424"	"CBI23576"	"unnamed protein product, partial [Vitis vinifera]"	"Vitis vinifera"	"99.2"	"1"	"100"	"62"	"0"	"917.916"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_4210"	"176"	"1003"	"XP_002274240"	"PREDICTED: WD repeat-containing protein 13 [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"97"	"68"	"0"	"634.024"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1619"	"721"	"1502"	"XP_002281646"	"PREDICTED: probable Xaa-Pro aminopeptidase 3 [Vitis vinifera]"	"Vitis vinifera"	"99.8"	"1"	"97"	"100"	"0"	"989.564"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_263"	"298"	"2465"	"XP_002285784"	"PREDICTED: probable pectin methyltransferase QUA2 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"70"	"83"	"0"	"1211.05"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3399"	"504"	"1118"	"XP_002274315"	"PREDICTED: protein RAE1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"93"	"100"	"0"	"725.317"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1360"	"334"	"1591"	"XP_002264906"	"PREDICTED: transmembrane 9 superfamily member 11 [Vitis vinifera]"	"Vitis vinifera"	"97.7"	"1"	"80"	"65"	"0"	"861.292"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2222"	"208"	"1333"	"XP_002279302"	"PREDICTED: uncharacterized protein LOC100260179 [Vitis vinifera]"	"Vitis vinifera"	"99.2"	"1"	"54"	"80"	"8.89216e-172"	"493.426"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2508"	"286"	"1272"	"XP_010647203"	"PREDICTED: splicing factor U2af large subunit B [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"93"	"71"	"0"	"761.911"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1928"	"712"	"1406"	"XP_002272741"	"PREDICTED: proline--tRNA ligase, chloroplastic/mitochondrial [Vitis vinifera]"	"Vitis vinifera"	"99.6"	"1"	"99"	"85"	"0"	"968.378"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3732"	"1339"	"1069"	"XP_002265360"	"PREDICTED: alpha-mannosidase [Vitis vinifera]"	"Vitis vinifera"	"98.9"	"1"	"100"	"35"	"0"	"731.865"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_973"	"2522"	"1762"	"XP_002269415"	"PREDICTED: beta-1,3-galactosyltransferase 7 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.5"	"1"	"68"	"100"	"0"	"830.861"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2711"	"364"	"1232"	"XP_010647688"	"PREDICTED: RNA-binding protein 28 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.0"	"1"	"97"	"42"	"0"	"790.03"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2583"	"380"	"1255"	"XP_002270969"	"PREDICTED: probable magnesium transporter NIPA6 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"82"	"95"	"0"	"636.721"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3583"	"342"	"1089"	"XP_002285795"	"PREDICTED: annexin D1 [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"85"	"100"	"0"	"635.18"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3475"	"166"	"1107"	"CAN82053"	"hypothetical protein VITISV_030237 [Vitis vinifera]"	"Vitis vinifera"	"96.0"	"1"	"61"	"35"	"1.21965e-124"	"382.874"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_769"	"660"	"1885"	"NP_001268096"	"3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 02 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"55"	"63"	"0"	"733.021"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_846"	"806"	"1830"	"XP_002265805"	"PREDICTED: thaumatin-like protein 1b [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"40"	"72"	"1.18298e-155"	"460.299"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_748"	"1587"	"1901"	"XP_010659600"	"PREDICTED: probable serine/threonine-protein kinase DDB_G0276461 isoform X2 [Vitis vinifera]"	"Vitis vinifera"	"97.6"	"1"	"79"	"71"	"0"	"878.241"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3593"	"1448"	"1088"	"RVW13362"	"Adenosylhomocysteinase [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"77"	"57"	"0"	"544.273"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1423"	"570"	"1563"	"XP_002282458"	"PREDICTED: K(+) efflux antiporter 4 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.8"	"2"	"95"	"86"	"1.72736e-44"	"917.517"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_806"	"884"	"1855"	"XP_003631483"	"PREDICTED: uncharacterized protein LOC100854975 isoform X2 [Vitis vinifera]"	"Vitis vinifera"	"99.2"	"1"	"80"	"94"	"0"	"754.977"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_313"	"1520"	"2351"	"XP_002283957"	"PREDICTED: casein kinase 1-like protein HD16 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"81"	"90"	"0"	"1323.92"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1893"	"1162"	"1414"	"XP_010645368"	"PREDICTED: protein ROOT HAIR DEFECTIVE 3 homolog 2 isoform X2 [Vitis vinifera]"	"Vitis vinifera"	"99.1"	"1"	"95"	"61"	"0"	"934.095"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3311"	"216"	"1133"	"XP_019074517"	"PREDICTED: probable polyamine transporter At1g31830 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"82"	"63"	"0"	"624.009"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2802"	"158"	"1214"	"CAN66469"	"hypothetical protein VITISV_016566 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"85"	"55"	"0"	"718.383"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_207"	"8964"	"2593"	"XP_002280982"	"PREDICTED: eukaryotic peptide chain release factor GTP-binding subunit ERF3A [Vitis vinifera]"	"Vitis vinifera"	"99.0"	"1"	"59"	"100"	"0"	"988.408"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3049"	"452"	"1253"	"XP_003632850"	"PREDICTED: WD-40 repeat-containing protein MSI4 [Vitis vinifera]"	"Vitis vinifera"	"91.8"	"3"	"100"	"94"	"1.37731333333333e-12"	"787.306"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1684"	"108"	"1477"	"XP_003635380"	"PREDICTED: protein NAR1 [Vitis vinifera]"	"Vitis vinifera"	"99.6"	"1"	"94"	"97"	"0"	"931.013"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2883"	"183"	"1200"	"XP_002284178"	"PREDICTED: cyclin-H1-1 isoform X2 [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"72"	"86"	"0"	"548.895"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_917"	"776"	"1790"	"XP_002268637"	"PREDICTED: 7-deoxyloganetin glucosyltransferase [Vitis vinifera]"	"Vitis vinifera"	"98.3"	"1"	"81"	"100"	"0"	"930.628"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1826"	"1191"	"1433"	"XP_002276214"	"PREDICTED: 3-oxoacyl-[acyl-carrier-protein] synthase II, chloroplastic [Vitis vinifera]"	"Vitis vinifera"	"99.8"	"1"	"95"	"82"	"0"	"907.516"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_4228"	"3418"	"1000"	"XP_019076958"	"PREDICTED: serine--tRNA ligase, chloroplastic/mitochondrial isoform X2 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"100"	"62"	"0"	"629.402"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_477"	"621"	"2135"	"XP_002267459"	"PREDICTED: oxalate--CoA ligase [Vitis vinifera]"	"Vitis vinifera"	"99.4"	"1"	"74"	"100"	"0"	"1035.79"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3001"	"202"	"1180"	"XP_019072767"	"PREDICTED: bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"79"	"89"	"0"	"648.277"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_735"	"2577"	"1911"	"XP_002280330"	"PREDICTED: LIMR family protein At5g01460 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"80"	"100"	"0"	"882.863"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_4179"	"195"	"1007"	"XP_019074068"	"PREDICTED: protein PHR1-LIKE 2 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"91"	"99"	"0"	"633.254"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_4135"	"242"	"1013"	"XP_002285799"	"PREDICTED: uncharacterized methyltransferase At1g78140, chloroplastic [Vitis vinifera]"	"Vitis vinifera"	"96.8"	"2"	"100"	"99"	"0.000116331"	"687.1682"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3197"	"338"	"1153"	"RVW56142"	"hypothetical protein CK203_080823 [Vitis vinifera]"	"Vitis vinifera"	"99.6"	"1"	"58"	"37"	"2.81796e-130"	"396.741"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1837"	"635"	"1430"	"XP_010653000"	"PREDICTED: TOM1-like protein 2 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"99.1"	"1"	"73"	"86"	"0"	"622.083"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2183"	"108"	"1342"	"XP_002281823"	"PREDICTED: ras-related protein RABH1b [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"46"	"100"	"2.87944e-134"	"394.815"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1725"	"531"	"1464"	"XP_002263686"	"PREDICTED: galactan beta-1,4-galactosyltransferase GALS3 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"50"	"46"	"2.14962e-178"	"520.776"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2636"	"346"	"1245"	"CBI22154"	"unnamed protein product, partial [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"87"	"90"	"0"	"717.227"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1387"	"520"	"1582"	"XP_002266357"	"PREDICTED: probable methyltransferase PMT26 [Vitis vinifera]"	"Vitis vinifera"	"98.8"	"1"	"99"	"63"	"0"	"1093.57"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3481"	"562"	"1106"	"XP_010664568"	"PREDICTED: serine/threonine-protein kinase tricorner isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"87"	"58"	"0"	"651.358"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2046"	"2199"	"1375"	"XP_003633161"	"PREDICTED: calmodulin-binding protein 60 E [Vitis vinifera]"	"Vitis vinifera"	"99.5"	"1"	"88"	"65"	"0"	"845.499"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1715"	"136"	"1467"	"XP_010648996"	"PREDICTED: E3 ubiquitin-protein ligase UPL3 isoform X2 [Vitis vinifera]"	"Vitis vinifera"	"99.7"	"1"	"81"	"21"	"0"	"833.943"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1367"	"278"	"1588"	"XP_002270525"	"PREDICTED: major facilitator superfamily domain-containing protein 12 [Vitis vinifera]"	"Vitis vinifera"	"99.8"	"1"	"81"	"94"	"0"	"779.63"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1143"	"76"	"1677"	"CAN72205"	"hypothetical protein VITISV_001822 [Vitis vinifera]"	"Vitis vinifera"	"61.7"	"1"	"79"	"94"	"2.56461e-153"	"457.603"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3363"	"162"	"1869"	"TKS18461"	"protein disulfide isomerase-like 2-3 [Populus alba]"	"Populus alba"	"77.9"	"1"	"68"	"97"	"0"	"548.895"	"43335"	"Eukaryota;;Salicaceae;Populus;Populus alba"	""
"BLASTX"	"SRR10518885_2337"	"1072"	"1307"	"CBI26076"	"unnamed protein product, partial [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"31"	"90"	"1.3313e-92"	"286.189"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_4007"	"637"	"1032"	"QFZ95344"	"MYB transcription factor MYBA1 [Vitis davidii]"	"Vitis davidii"	"99.1"	"1"	"68"	"93"	"5.97846e-159"	"454.907"	"103354"	"Eukaryota;;Vitaceae;Vitis;Vitis davidii"	""
"BLASTX"	"SRR10518885_592"	"673"	"2028"	"XP_002276277"	"PREDICTED: rho GTPase-activating protein 7 isoform X2 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"78"	"60"	"0"	"1021.54"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1114"	"193"	"1690"	"XP_010654216"	"PREDICTED: tubulin beta-2 chain [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"72"	"91"	"0"	"794.267"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_3440"	"368"	"1112"	"XP_002283918"	"PREDICTED: 40S ribosomal protein S7 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"43"	"83"	"6.85727e-105"	"316.62"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_1931"	"629"	"1404"	"RVW26031"	"Calreticulin-3 [Vitis vinifera]"	"Vitis vinifera"	"98.7"	"2"	"83"	"71"	"0.0003038275"	"745.3332"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_445"	"482"	"2176"	"XP_002273532"	"PREDICTED: uncharacterized protein LOC100249520 isoform X1 [Vitis vinifera]"	"Vitis vinifera"	"100.0"	"1"	"97"	"91"	"0"	"1405.96"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
"BLASTX"	"SRR10518885_2208"	"677"	"1337"	"XP_002273377"	"PREDICTED: RHOMBOID-like protein 10, chloroplastic [Vitis vinifera]"	"Vitis vinifera"	"99.1"	"1"	"74"	"100"	"0"	"627.476"	"29760"	"Eukaryota;;Vitaceae;Vitis;Vitis vinifera"	""
