Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Tumor,CenterName,Submission,Consent,RunHash,ReadHash,Cultivar
SRR10518897,11/24/19 17:44,11/23/19 10:57,27787195,8336158500,27787195,300,3239,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/010272/SRR10518897,SRX7203848,berry_CG_4.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708723,SAMN13376747,simple,29760,Vitis vinifera,berry_CG_4.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,A17B349706B4F8EACAC6BBE0EEB47184,1FF59186F78AF3BE73125BF376F70385,Shiraz
SRR10518898,11/24/19 17:44,11/23/19 10:56,24975574,7492672200,24975574,300,2915,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/010272/SRR10518898,SRX7203847,berry_CG_4.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708722,SAMN13376746,simple,29760,Vitis vinifera,berry_CG_4.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,C2532316A9E75C61D3DA84AB29F780A2,594AC926D300965CC214F9371F1BB3DE,Shiraz
SRR10518899,11/24/19 17:44,11/23/19 10:56,25535099,7660529700,25535099,300,2992,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/010272/SRR10518899,SRX7203846,berry_CG_3.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708721,SAMN13376745,simple,29760,Vitis vinifera,berry_CG_3.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,3A56CF894190B4902E0E608517A346FD,F17DE9253CA8F8DB4A9D158901FD2AD5,Shiraz
SRR10518900,11/24/19 17:44,11/23/19 11:14,27102438,8130731400,27102438,300,3168,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010272/SRR10518900,SRX7203845,berry_CG_3.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708720,SAMN13376744,simple,29760,Vitis vinifera,berry_CG_3.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,EA7BB4696F1BAE79870F804B3B33DF90,F6CE70049486C99E6F6D9C6190E6C6DF,Shiraz
SRR10518901,11/24/19 17:44,11/23/19 11:01,32496505,9748951500,32496505,300,3808,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/010272/SRR10518901,SRX7203844,berry_CG_3.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708719,SAMN13376743,simple,29760,Vitis vinifera,berry_CG_3.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,1BC98D76AE8810A7DE5FB3A7C150EBDF,C4685798968F09C3D4CC964FC5437594,Shiraz
SRR10518902,11/24/19 17:44,11/23/19 11:00,30476574,9142972200,30476574,300,3575,,https://sra-download.ncbi.nlm.nih.gov/traces/sra27/SRR/010272/SRR10518902,SRX7203843,berry_CG_2.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708718,SAMN13376742,simple,29760,Vitis vinifera,berry_CG_2.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,D963A3566ED2B8DDD1D6A29700F3E36C,E3ED6484B12D398030A1E8049F15B93A,Shiraz
SRR10518903,11/24/19 17:44,11/23/19 11:20,31994659,9598397700,31994659,300,3757,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/010272/SRR10518903,SRX7203842,berry_CG_2.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708717,SAMN13376741,simple,29760,Vitis vinifera,berry_CG_2.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,CF4FC62CCF9F4605516D03C3D721ABBC,C4FF1EFCAB14A0F812EB6F4CD7551322,Shiraz
SRR10518904,11/24/19 17:44,11/23/19 11:14,28561998,8568599400,28561998,300,3376,,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/010272/SRR10518904,SRX7203841,berry_CG_2.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708716,SAMN13376740,simple,29760,Vitis vinifera,berry_CG_2.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,A0C72AF70B64A2030D2F03DB9FFD7A89,18CF1D917A580781605BFF096713B7D8,Shiraz
SRR10518905,11/24/19 17:44,11/23/19 11:16,28633818,8590145400,28633818,300,3328,,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/010272/SRR10518905,SRX7203840,berry_CG_1.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708715,SAMN13376739,simple,29760,Vitis vinifera,berry_CG_1.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,94AED915E0A96F316BD30F855BBDF3F4,FA7D04B7010D23F38A53ED43BC2E3341,Shiraz
SRR10518906,11/24/19 17:44,11/23/19 10:54,29240262,4386039300,29240262,150,1565,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/010272/SRR10518906,SRX7203839,leaf_NG_3.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708714,SAMN13376667,simple,29760,Vitis vinifera,leaf_NG_3.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,263D7883299D55222B8FB22266274B7B,A892C843676396207FEE50BB56D26FCD,Shiraz
SRR10518907,11/24/19 17:44,11/23/19 10:59,29397234,8819170200,29397234,300,3467,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/010272/SRR10518907,SRX7203838,berry_CG_1.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708713,SAMN13376738,simple,29760,Vitis vinifera,berry_CG_1.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,EA547FDD9D865A9C67C709F193193341,87CD329BBDAE879B1083F7F590ADBCA7,Shiraz
SRR10518908,11/24/19 17:44,11/23/19 10:59,30714832,9214449600,30714832,300,3560,,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/010272/SRR10518908,SRX7203837,berry_CG_1.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708712,SAMN13376737,simple,29760,Vitis vinifera,berry_CG_1.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,FFB62C6591DFE8CA4E0201931D59D42E,34FE5273D3B6C3B92401BC5534E3EB7F,Shiraz
SRR10518909,11/24/19 17:44,11/23/19 11:13,25294895,7588468500,25294895,300,2998,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/010272/SRR10518909,SRX7203836,berry_NG_4.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708711,SAMN13376736,simple,29760,Vitis vinifera,berry_NG_4.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,51B57A45FD9BCA1BB33F1320BCCE66F9,11C648D6749433E20B210FEA30FCFF58,Shiraz
SRR10518910,11/24/19 17:44,11/23/19 11:04,35507056,10652116800,35507056,300,4133,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/010272/SRR10518910,SRX7203835,berry_NG_4.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708710,SAMN13376735,simple,29760,Vitis vinifera,berry_NG_4.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,59FA816ACA2D5B605904F2520818EF4C,D345B064476FCB79A46939360BD42E8C,Shiraz
SRR10518911,11/24/19 17:44,11/23/19 10:57,27683079,8304923700,27683079,300,3226,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010272/SRR10518911,SRX7203834,berry_NG_4.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708709,SAMN13376734,simple,29760,Vitis vinifera,berry_NG_4.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,A26C4049D275884E6D5E8B82415775AD,5BBA70AE4B0AFF12FD845B0E96A8236B,Shiraz
SRR10518912,11/24/19 17:44,11/23/19 11:14,27512119,8253635700,27512119,300,3239,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/010272/SRR10518912,SRX7203833,berry_NG_3.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708708,SAMN13376733,simple,29760,Vitis vinifera,berry_NG_3.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,F3A93233D715430EB8337C3DB57967DA,55D7FF749797982BB655C617DEA78558,Shiraz
SRR10518913,11/24/19 17:44,11/23/19 11:01,23036067,6910820100,23036067,300,2652,,https://sra-download.ncbi.nlm.nih.gov/traces/sra27/SRR/010272/SRR10518913,SRX7203832,berry_NG_3.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708707,SAMN13376732,simple,29760,Vitis vinifera,berry_NG_3.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,C8FE65F6BEB23939FDD309C675870D94,C99E8782991F6D2B80E845A004F27608,Shiraz
SRR10518914,11/24/19 17:44,11/23/19 10:55,23546137,7063841100,23546137,300,2722,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/010272/SRR10518914,SRX7203831,berry_NG_3.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708706,SAMN13376731,simple,29760,Vitis vinifera,berry_NG_3.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,63F843ED2C3886FBF4E73DEFF4431938,2E2FDB4B7BC581495F3FA5FDAF3CD84B,Shiraz
SRR10518915,11/24/19 17:44,11/23/19 10:56,26491939,7947581700,26491939,300,3075,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/010272/SRR10518915,SRX7203830,berry_NG_2.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708705,SAMN13376730,simple,29760,Vitis vinifera,berry_NG_2.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,877F2C3B2B58CF7A2B8E0CB77B3CA824,D17ED6803C1C8300F8375632820F89A7,Shiraz
SRR10518916,11/24/19 17:44,11/23/19 10:54,21102625,6330787500,21102625,300,2437,,https://sra-download.ncbi.nlm.nih.gov/traces/sra33/SRR/010272/SRR10518916,SRX7203829,berry_NG_2.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708704,SAMN13376729,simple,29760,Vitis vinifera,berry_NG_2.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,F92BD3B4FDECC7B3809502F919FBE7DB,D45CAC9048E6CA2E78A74B693DC8493E,Shiraz
SRR10518917,11/24/19 17:44,11/23/19 10:50,21076188,3161428200,21076188,150,1123,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/010272/SRR10518917,SRX7203828,leaf_NG_3.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708703,SAMN13376666,simple,29760,Vitis vinifera,leaf_NG_3.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,202FDEA1455E0580E4A718280481D8DA,8B5A524396C36409FF2E05A0F92AA5EF,Shiraz
SRR10518918,11/24/19 17:44,11/23/19 10:55,24451847,7335554100,24451847,300,2846,,https://sra-download.ncbi.nlm.nih.gov/traces/sra27/SRR/010272/SRR10518918,SRX7203827,berry_NG_2.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708702,SAMN13376728,simple,29760,Vitis vinifera,berry_NG_2.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,AC3C5393116C264425C3840B317D2089,9DF2A89D8BEA20D0CD6A5F7B50086EE0,Shiraz
SRR10518919,11/24/19 17:44,11/23/19 10:57,27201014,8160304200,27201014,300,3129,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/010272/SRR10518919,SRX7203826,berry_NG_1.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708701,SAMN13376727,simple,29760,Vitis vinifera,berry_NG_1.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,E287EF142F5034E4D21281E7A0EB78E0,93C16B3842FCE03BE6E0EEF357BF4CD3,Shiraz
SRR10518920,11/24/19 17:44,11/23/19 11:07,22484650,6745395000,22484650,300,2579,,https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/010272/SRR10518920,SRX7203825,berry_NG_1.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708700,SAMN13376726,simple,29760,Vitis vinifera,berry_NG_1.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,D7EABC0987935F37B00E0C3EAFBAAE5A,6B8C5F9C0839AD092FF1A73D30C6A222,Shiraz
SRR10518921,11/24/19 17:44,11/23/19 11:12,24151232,7245369600,24151232,300,2777,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/010272/SRR10518921,SRX7203824,berry_NG_1.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708699,SAMN13376725,simple,29760,Vitis vinifera,berry_NG_1.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,E06F48B583B05556A789F99086771337,823A2DBC8A351442C02DD4C0613AE5A8,Shiraz
SRR10518922,11/24/19 17:44,11/23/19 11:07,30908323,4636248450,30908323,150,1546,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/010272/SRR10518922,SRX7203823,leaf_EV_3.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708698,SAMN13376724,simple,29760,Vitis vinifera,leaf_EV_3.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,AF7C685C8B58ADC997BA719330169BD1,CC6558A77A0EEA19C8EF8748F1865453,Shiraz
SRR10518923,11/24/19 17:44,11/23/19 10:51,25892061,3883809150,25892061,150,1297,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/010272/SRR10518923,SRX7203822,leaf_EV_3.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708697,SAMN13376723,simple,29760,Vitis vinifera,leaf_EV_3.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,043ADD1AAA76D2DF3AFB5B2263EA590D,1B7E398CB73E44A9E83366311C727231,Shiraz
SRR10518924,11/24/19 17:44,11/23/19 10:49,16746295,2511944250,16746295,150,851,,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/010272/SRR10518924,SRX7203821,leaf_EV_3.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708696,SAMN13376722,simple,29760,Vitis vinifera,leaf_EV_3.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,366A6FEA50906F6EEBF157D4F471E682,9DEB245BFE1BB389D9001A352D662177,Shiraz
SRR10518925,11/24/19 17:44,11/23/19 10:52,25693559,3854033850,25693559,150,1294,,https://sra-download.ncbi.nlm.nih.gov/traces/sra11/SRR/010272/SRR10518925,SRX7203820,leaf_EV_2.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708695,SAMN13376721,simple,29760,Vitis vinifera,leaf_EV_2.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,1F9914648288644DA0A349C0B7C0F8CF,0DE42DE0481944900BBF685F8B0173D7,Shiraz
SRR10518926,11/24/19 17:44,11/23/19 10:49,16928666,2539299900,16928666,150,850,,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/010272/SRR10518926,SRX7203819,leaf_EV_2.2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708694,SAMN13376720,simple,29760,Vitis vinifera,leaf_EV_2.2,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,AD0C2DF7E7249CFCB68B098EDB079703,3C11FA4AB7DC601D001B9E1720128F42,Shiraz
SRR10518927,11/24/19 17:44,11/23/19 10:55,31637687,4745653050,31637687,150,1584,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/010272/SRR10518927,SRX7203818,leaf_EV_2.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708693,SAMN13376719,simple,29760,Vitis vinifera,leaf_EV_2.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,236A22D04189AA3463805111C871EF6F,387E1BE3A34B22434ED3C1983018E2C1,Shiraz
SRR10518928,11/24/19 17:44,11/23/19 11:14,43242972,6486445800,43242972,150,2323,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/010272/SRR10518928,SRX7203817,leaf_NG_3.1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708692,SAMN13376665,simple,29760,Vitis vinifera,leaf_NG_3.1,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,1F942FCEA1605948E430123EFC892D35,B962B06E30446E95D6A86D3BB3B048D8,Shiraz
SRR10518929,11/24/19 17:44,11/23/19 10:49,21865202,3279780300,21865202,150,1104,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/010272/SRR10518929,SRX7203816,leaf_EV_1.3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP231551,PRJNA591273,591273,SRS5708691,SAMN13376718,simple,29760,Vitis vinifera,leaf_EV_1.3,no,THE UNIVERSITY OF ADELAIDE,SRA1001401,public,ED9F8523EB5F3F1FFE6425C8547B5C50,40C42ACA05F92DD208D35571604F4627,Shiraz
